,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,0.0019174382421751066,0.0034328742716324763,0.0008710722641865441,0.0012769200439453126,0.005056559912109375,0.21229456,0.5399070127857419
2001-02-01,0.001429329279091822,0.003121014749320294,0.0010593259809062497,0.001294289978027344,0.0037908000000000004,0.2138865,0.5399070127857419
2001-03-01,0.0035178767705253454,0.007768479916686837,0.0027224018116299986,0.0032646603515625004,0.009289530175781251,0.21422087,0.5399070127857419
2001-04-01,0.003056935446924273,0.007134551356648458,0.0019309201687957105,0.002286720263671875,0.008415360351562502,0.21322456,0.5399070127857419
2001-05-01,0.009863545817516315,0.01486634470364982,0.0016567243492391422,0.0019426500000000002,0.0175347896484375,0.35164464,0.5399070127857419
2001-06-01,0.011272372888977276,0.0102569566371014,0.000868121689996765,0.0010082700439453126,0.0121042810546875,0.5781814,0.5399070127857419
2001-07-01,0.018123784106886767,0.014690839544906402,0.0033144587921483093,0.0039335396484375,0.0173232896484375,0.63225925,0.5399070127857419
2001-08-01,0.017069218806476334,0.014048620037881026,0.001867905960593775,0.0022307398681640626,0.016557570703125,0.6324508,0.5399070127857419
2001-09-01,0.010692585620631532,0.012292044665201052,0.001231342061640613,0.0014628600219726562,0.014499539648437499,0.46385163,0.5399070127857419
2001-10-01,0.0028761113490604084,0.0066076490835953955,0.0005633508666365685,0.0006652799560546875,0.00787706982421875,0.24133047,0.5399070127857419
2001-11-01,0.0017583348765215885,0.004667432875787403,0.0007713396451952698,0.0009600299560546876,0.005857559912109376,0.18947396,0.5399070127857419
2001-12-01,0.0010249250390790623,0.0020775496276671337,0.0006723612706124755,0.0009020700439453126,0.002796660131835938,0.20450777,0.5399070127857419
2002-01-01,0.0011724830467434964,0.002590814561000858,0.0008555082348472062,0.0010325700439453125,0.0031337101318359376,0.21229456,0.5399070127857419
2002-02-01,0.0028825925414685456,0.006620849826259093,0.0016686318060413485,0.00199781982421875,0.0079653603515625,0.2138865,0.5399070127857419
2002-03-01,0.003278462639351927,0.007645539735656692,0.0019058087016385053,0.0023006700439453126,0.0091008896484375,0.21422087,0.5399070127857419
2002-04-01,0.0033144428432439563,0.007968557886384805,0.001637522388861544,0.0019261799560546875,0.009399509472656251,0.21322456,0.5399070127857419
2002-05-01,0.00912196506208671,0.013671027706384686,0.001851722514653554,0.00216926982421875,0.016117287890625002,0.35164464,0.5399070127857419
2002-06-01,0.017140076220712376,0.015371876178143113,0.0024762754171017416,0.002887559912109375,0.01813194140625,0.5781814,0.5399070127857419
2002-07-01,0.018196716813569977,0.01486871624067696,0.002637010169684681,0.0031443299560546876,0.017526870703125003,0.63225925,0.5399070127857419
2002-08-01,0.01639351087687737,0.013495559678167623,0.0018179588189717896,0.00216926982421875,0.015894900000000003,0.6324508,0.5399070127857419
2002-09-01,0.01050164487541134,0.012108972768683139,0.0011326879115014959,0.0013345200439453125,0.01427085,0.46385163,0.5399070127857419
2002-10-01,0.0026217667118859974,0.005839002500728432,0.0005740118920312501,0.0006974999450683594,0.007127550000000001,0.24133047,0.5399070127857419
2002-11-01,0.0019644167079451826,0.0046726129338257585,0.000623909211314902,0.0008437500549316407,0.006459840087890625,0.18947396,0.5399070127857419
2002-12-01,0.00134303139818513,0.0029905588022250485,0.0008176615487257108,0.0010096200439453126,0.0037044,0.20450777,0.5399070127857419
2003-01-01,0.0003547010568014915,0.0003825403552318628,7.549941442102942e-05,0.00012582000274658203,0.0006375600219726563,0.21229456,0.5400038744672607
2003-02-01,0.002473502315988708,0.005478662423443775,0.0018352916771832357,0.0021966301757812504,0.0064971000000000004,0.2138865,0.5400038744672607
2003-03-01,0.0033946209604263163,0.007406432435849631,0.002188697924841372,0.002699009912109375,0.009185490527343751,0.21422087,0.5400038744672607
2003-04-01,0.0028626894300330047,0.0066324909917960286,0.001432179818270319,0.0017523,0.0080568,0.21322456,0.5400038744672607
2003-05-01,0.008450987732842684,0.0125782102037002,0.0016255433114699754,0.0019032299560546874,0.014840370703125001,0.35164464,0.5400038744672607
2003-06-01,0.01674434472572138,0.015026554298676293,0.002236604707731741,0.002608560131835938,0.017720010351562503,0.5781814,0.5400038744672607
2003-07-01,0.01756646525453368,0.014502556786624071,0.001775050738116544,0.0021031200439453127,0.0170852396484375,0.63225925,0.5400038744672607
2003-08-01,0.017219397022411598,0.014093135285081692,0.002617902917899729,0.0031050000000000006,0.0166059,0.6324508,0.5400038744672607
2003-09-01,0.01045142952098164,0.012024328828793068,0.001349977978128137,0.0015888600219726564,0.014178870703124999,0.46385163,0.5400038744672607
2003-10-01,0.003364136491609031,0.00790161656770733,0.0005365380705732597,0.0006305399780273437,0.00932085,0.24133047,0.5400038744672607
2003-11-01,0.001989956638877671,0.00536511348084581,0.0010036670174849997,0.0011946600219726563,0.0064213202636718755,0.18947396,0.5400038744672607
2003-12-01,0.0011679475222944095,0.002655311098233896,0.0006028390904775738,0.0007604100219726563,0.003361590087890625,0.20450777,0.5400038744672607
2004-01-01,0.0008850130410827156,0.0019292506413152205,0.0006469941526004902,0.000783719989013672,0.0023329799560546875,0.21229456,0.5400038744672607
2004-02-01,0.0022136135408071956,0.004853076798956156,0.0018166291119350972,0.0021362398681640626,0.005715179736328125,0.2138865,0.5400038744672607
2004-03-01,0.004267104451294236,0.009673864654232719,0.0028570043753871313,0.0033976799560546875,0.011497410351562501,0.21422087,0.5400038744672607
2004-04-01,0.005019129259199545,0.012246126296830938,0.00190788173566929,0.002269890087890625,0.014443470703125,0.21322456,0.5400038744672607
2004-05-01,0.006772237020474377,0.010088767697062531,0.0013194368844710537,0.0015531299560546876,0.0119015103515625,0.35164464,0.5400038744672607
2004-06-01,0.01689795394253158,0.015028750602573726,0.002747124727447255,0.00325691982421875,0.0177294603515625,0.5781814,0.5400038744672607
2004-07-01,0.01837800608640272,0.01498615931680373,0.0028121511541391916,0.0033431400878906254,0.017669879296875,0.63225925,0.5400038744672607
2004-08-01,0.01704717410480316,0.014031043851391155,0.0019140485988891915,0.0022591799560546877,0.0165422689453125,0.6324508,0.5400038744672607
2004-09-01,0.0105118257725911,0.012120572805131154,0.0008961998047543626,0.0010548,0.014288849999999999,0.46385163,0.5400038744672607
