,SWE_km3
2017-12-31,0.05635029130522162
2018-01-31,0.05765093771022657
2018-02-28,0.11291886085015723
2018-03-31,0.2679721159171313
2018-04-30,0.11092362357699312
2018-05-31,0.0
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,0.0
2018-11-30,0.12669772006198765
2018-12-31,0.17197715375199915
2019-01-31,0.3885659752255306
2019-02-28,0.9536427764296532
2019-03-31,0.984288824044168
2019-04-30,0.5939634728804232
2019-05-31,0.2820098348632455
