,SWE_km3
2017-12-31,0.01581293328665197
2018-01-31,0.004945558938896284
2018-02-28,0.025397296443581584
2018-03-31,0.047733838509768256
2018-04-30,0.008939512917189859
2018-05-31,0.0
2018-06-30,0.0
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,0.0
2018-11-30,0.036858168153092265
2018-12-31,0.052976849814876915
2019-01-31,0.13619815158657733
2019-02-28,0.32954217282682663
2019-03-31,0.267103820823133
2019-04-30,0.10617494336515666
2019-05-31,0.031257694426924
