,0
2015-10-01,289.0114484381179
2015-11-01,362.6431189131503
2015-12-01,381.0431149340434
2016-01-01,376.9329055486308
2016-02-01,335.8590894069557
2016-03-01,333.368377620391
2016-04-01,209.36561080867867
2016-05-01,405.87670132962097
2016-06-01,349.9701336771689
2016-07-01,566.0952588414377
2016-08-01,734.2097764228703
2016-09-01,636.7523962720287
2016-10-01,445.9815669677991
2016-11-01,450.858314096802
2016-12-01,411.7975544434801
2017-01-01,396.74295556766606
2017-02-01,385.2636715423358
2017-03-01,285.3250529843665
2017-04-01,167.61824377402718
2017-05-01,176.85180756321697
2017-06-01,289.31319089467763
2017-07-01,413.8267441030573
2017-08-01,804.9464512279418
2017-09-01,661.081632865336
2017-10-01,569.5155861105854
2017-11-01,402.75311182586904
2017-12-01,359.4525607216628
2018-01-01,355.7058967096866
2018-02-01,360.0457433797532
2018-03-01,338.518732046302
2018-04-01,283.1729968653497
2018-05-01,220.04123473325328
2018-06-01,320.808259037379
2018-07-01,449.6468029314958
2018-08-01,489.5930980796787
2018-09-01,343.38216738796626
2018-10-01,267.01456707656865
2018-11-01,317.07639208378333
2018-12-01,295.1112617060423
2019-01-01,295.4651450145124
2019-02-01,295.1598778075854
2019-03-01,232.65596060632168
2019-04-01,187.06885276762407
2019-05-01,298.29173617069887
2019-06-01,504.9430646931004
2019-07-01,513.8237447453705
2019-08-01,678.0543217073362
2019-09-01,460.0592181619503
2019-10-01,291.4499987365923
2019-11-01,296.4838486299401
2019-12-01,328.40815647523755
2020-01-01,392.48924176108227
2020-02-01,428.87101907005984
2020-03-01,342.8294233793901
2020-04-01,244.75087330334856
2020-05-01,187.83093875898297
2020-06-01,254.63033342218966
2020-07-01,245.71737514977343
2020-08-01,539.2047593854019
2020-09-01,630.3836259981741
