,p_prism,p_gpm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,pet_modis,pet_gldas,pet_tc,pet_nldas,pet_gmet,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas
2001-01-31,0.19992693205249779,0.2647566801551546,0.21995886132229608,0.20917605950290227,0.32759073255460835,0.048734294771680314,0.04909826159884368,0.1317602083718589,0.06923932586744574,0.18109548609111142,0.18856281618542162,0.1317602083718589,0.2480397372884002,0.11699616609848823,,,0.11294203221293178,1.4368992710469435,0.011916971075258825,0.0029754533483248137,0.007712082933716702
2001-02-28,0.21778875428270886,0.31222525776664456,0.22800239423363214,0.21669196329585938,0.35272811509690916,0.08269560405430372,0.07106601512953818,0.16784456304539694,0.10062944252869355,0.21736408123798973,0.20489510958552046,0.16907463446755486,0.2623450869927213,0.16722320994328355,,,0.12339499370174746,1.6342332000026012,0.00935584587174903,0.007762333454385457,0.010057294163626166
2001-03-31,0.059343170986182366,0.11012086964354001,0.048923857173599476,0.09668231382545546,0.17518175241515752,0.1726064366104801,0.2030708983031711,0.11426952970079784,0.1943957561372354,0.4817981137908177,0.4672475190053897,0.35474747534120404,0.5208694535817886,0.34880883650141237,,,0.09200515088946197,1.8897977207877883,0.003973015801588234,0.005788330265350536,0.0010762433309719377
2001-04-30,0.14013882540932482,0.19094780878062753,0.15569114761149735,0.11317197660530338,0.13629288191489197,0.12158462838724927,0.23368479670777498,0.17037333608212457,0.15436478972845458,0.44535961119299927,0.6470090899910818,0.4725385892839513,0.6743774118333341,0.4334313633442117,,,0.07363138061894274,1.7767302330973638,0.00794745370653726,0.00666113528371926,0.007031239882759844
2001-05-31,5.604291427986554e-06,0.005059086701164802,0.0,0.016940124658132626,0.01203539224224454,0.1195604630045577,0.2655781529122455,0.017620966783187416,0.09693284739350426,0.9378006723442266,1.393142666617829,0.7769593573343947,1.2599852101470657,0.8273610346559079,,,0.06146143263924707,1.5639306540864437,0.0,0.002596045004425196,0.00014422355252294175
2001-06-30,0.0,0.0005772540454081149,0.0,0.005056767319320788,0.0008412654352988974,0.05471362931071248,0.12418489969879482,0.01029842243148128,0.025213298677496467,0.6567254345134925,1.5962990758404292,0.8641439385645404,1.3903692348889,0.8571851392025401,,,0.04989195460286745,1.3746366626175681,0.0,0.001979443464149597,5.0635823968068274e-05
2001-07-31,0.00553545670048632,0.015001890189496048,0.005723891788983322,0.0025311417751442645,0.012404545702919352,0.14702167123635415,0.06210778855242749,0.008228870015271983,0.010251800642717735,0.9548802136589325,1.4176837490315817,0.8049595950733581,1.3886760327333552,0.8126983375556353,,,0.043049039262820395,1.2889182386737335,0.0,0.001799950031643009,5.056336239155865e-05
2001-08-31,0.0,0.0008733428508181405,0.0,0.0031596913497934772,0.0009525989043559154,0.08888156701501118,0.020902301929201686,0.006081683533060279,0.0049912345265063435,0.9174604606794026,1.4739256684873006,0.7603262881688185,1.3229160922958365,0.7727938970060998,,,0.038082220823893335,1.239691947351938,0.0,0.0016549608225804667,5.008139019243719e-05
2001-09-30,1.9978238110861295e-06,0.001368915539731671,0.0,0.01156565602935022,0.002715707100008812,0.07585313784327116,0.012214857624017415,0.0056864796618177355,0.002720374680163633,0.7842892330551037,1.162643767112892,0.5738115816344908,1.0083699788691267,0.5796778183428586,,,0.034196780307074515,1.2149533179273326,0.0,0.0015171439666012085,5.125243311430437e-05
2001-10-31,0.023022524627651954,0.03479922784235964,0.024010794333050096,0.049472545465300326,0.03947755825570383,0.03824631877121471,0.013285953580159436,0.020254383498933798,0.008311007047500289,0.4226013213214755,0.8393287505946038,0.37801815589329457,0.7229118930242588,0.3952962343184772,,,0.030920198844335684,1.206570832892048,0.0,0.0017146807955942805,0.0009749561804633527
2001-11-30,0.16768940002164126,0.21380721793010396,0.2072874026644062,0.18062443168923886,0.23085758858376032,0.04853576497280801,0.039912899538975706,0.1680260601251339,0.07212583231423439,0.2618240704424686,0.30195885642965065,0.19205346492508046,0.32612728288970694,0.16675652733732657,,,0.039436555356762354,1.2905657015395546,0.008978452052823539,0.0035400485340278433,0.006501533227095954
2001-12-31,0.2420684159795656,0.2808365927572637,0.23607567180713335,0.23381691357983914,0.30140077853528097,0.04241754270679105,0.02953419003864848,0.11615734219910916,0.07827676012013932,0.13560981870689387,0.12047463219607576,0.11618021174081765,0.18369264656074905,0.10339477553930623,,,0.07158736899252707,1.5084923655601767,0.008581878714349025,0.004844853488490098,0.004536632240197339
2002-01-31,0.086012245489319,0.09806223280214964,0.0907651370234312,0.10672850744088196,0.08774408977742387,0.057594698725857776,0.04968580577782827,0.06541161936724098,0.07653436634547003,0.18695794978078545,0.18213552493292665,0.12570444583439444,0.20341241462947698,0.11643145754019774,,,0.06515674616852078,1.7404184805364538,0.003529059851662745,0.0018083947430555585,0.005010189378339946
2002-02-28,0.023407181486938353,0.04406574340234291,0.03350714958618927,0.04359899165338493,0.04732458219904733,0.10397394914128708,0.11256860599020613,0.03547355386524733,0.11803851749567003,0.3896269945916103,0.3548014445650498,0.2153965156303112,0.28867085928319863,0.1899667087949045,,,0.0542557900916455,1.7005316862324578,4.074550522745098e-05,0.001436101334210808,0.0008974629136932073
2002-03-31,0.09329799998568643,0.12730296869636606,0.1028321111016368,0.10173758617533049,0.09522409145411452,0.1187361252797095,0.19348399463839322,0.07300649834421363,0.159477039794577,0.4720432760420877,0.5601992021013088,0.35969680259150133,0.5001013636442107,0.338545749950857,,,0.0473644533543153,1.6548864571314654,0.0036441867000078423,0.0019465110698684012,0.004322229050890309
