,0
2010-10-01,700.0035767719432
2010-11-01,470.3823899625286
2010-12-01,375.44555095408924
2011-01-01,388.3526763528767
2011-02-01,432.99835766106463
2011-03-01,329.96912347816493
2011-04-01,324.6000880500792
2011-05-01,441.22972230393464
2011-06-01,557.530715158087
2011-07-01,660.568309790134
2011-08-01,626.2912338536504
2011-09-01,405.6517331563031
2011-10-01,370.92894261995536
2011-11-01,366.7512323295338
2011-12-01,360.39319789617724
2012-01-01,348.68044205220997
2012-02-01,373.88496007995417
2012-03-01,393.4062393152598
2012-04-01,334.18775189900003
2012-05-01,437.43538983944654
2012-06-01,756.321562722088
2012-07-01,777.8395325751094
2012-08-01,609.4615002716997
2012-09-01,550.6346777450283
2012-10-01,629.6012632450356
2012-11-01,779.5361327930956
2012-12-01,696.5960908391077
2013-01-01,720.788007901028
2013-02-01,720.2884287450375
2013-03-01,544.3504154509241
2013-04-01,622.9070362593567
2013-05-01,447.2422162170955
2013-06-01,403.82124021179646
2013-07-01,730.6020736134935
2013-08-01,503.34132462679804
2013-09-01,531.4541870706458
2013-10-01,562.4763204724885
2013-11-01,507.657376794454
2013-12-01,426.85797043500406
2014-01-01,447.42750838349207
2014-02-01,447.6246804606222
2014-03-01,445.0774561787426
2014-04-01,375.4658246842803
2014-05-01,523.101147178575
2014-06-01,719.3150071238554
2014-07-01,604.721407325028
2014-08-01,442.7258360664608
2014-09-01,498.01353593157523
2014-10-01,440.3736666520234
2014-11-01,359.11839147797025
2014-12-01,382.31649660689874
2015-01-01,368.1914837393836
2015-02-01,329.6569542893875
2015-03-01,322.88350962498885
2015-04-01,426.49137269218767
2015-05-01,297.23939468232646
2015-06-01,403.25919072647446
2015-07-01,371.4657259198616
2015-08-01,307.8221362134233
2015-09-01,304.52625787401087
2015-10-01,412.1266072545943
2015-11-01,419.569506063905
2015-12-01,363.2488929575146
2016-01-01,318.1201203284299
2016-02-01,333.52422892809597
2016-03-01,337.8267286257108
2016-04-01,258.88793049769885
2016-05-01,493.6774830635397
2016-06-01,404.609105761734
2016-07-01,561.0529657848357
2016-08-01,616.2958349949289
2016-09-01,473.055170734725
2016-10-01,429.09744719369814
2016-11-01,378.0945099676352
2016-12-01,337.5182382265527
2017-01-01,316.5713715002845
2017-02-01,263.405183648917
2017-03-01,249.8057512309356
2017-04-01,197.29461788429302
2017-05-01,276.8519925257774
2017-06-01,487.0094940479118
2017-07-01,440.7422744657426
2017-08-01,715.1056072088445
2017-09-01,515.3239302983834
2017-10-01,570.7675015853067
2017-11-01,363.25321052237643
2017-12-01,320.83738726755877
2018-01-01,298.03567380339274
2018-02-01,280.6819830558459
2018-03-01,319.5286894942297
2018-04-01,340.7109527091009
2018-05-01,327.46840836032095
2018-06-01,409.05156270976363
2018-07-01,516.9781841148927
2018-08-01,563.9518536981327
2018-09-01,442.1012729149552
2018-10-01,391.35748185471897
2018-11-01,331.6370052512793
2018-12-01,263.3042706182469
2019-01-01,254.68520039665054
2019-02-01,233.12823484753085
2019-03-01,268.59836786351593
2019-04-01,241.81445016128927
2019-05-01,451.8917126433355
2019-06-01,591.6883709653305
2019-07-01,525.6393447962911
2019-08-01,649.572053020264
2019-09-01,436.28415407265663
2019-10-01,392.658626420927
2019-11-01,391.5397094533852
2019-12-01,393.7256343961862
2020-01-01,464.7541878810782
2020-02-01,460.648954833724
2020-03-01,368.19187455821856
2020-04-01,291.05666618011423
2020-05-01,245.29980270111608
2020-06-01,334.2150700026596
2020-07-01,363.76888640505456
2020-08-01,607.962093627609
2020-09-01,622.0409068161947
